"","Date","Date_MY","Comments","Users","Posts","Total","Men..20.years.and.older","Women..20.years.and.older","X16.to.19.years.old","White","Black.or.African.American","Asian","Hispanic.or.Latino"
"1","2013-08-13","2013-8",NA,130,NA,63.3,72.4,58.9,34.4,63.5,60.7,64.7,66.3
"2","2013-08-14","2013-8",NA,142,NA,63.3,72.4,58.9,34.4,63.5,60.7,64.7,66.3
"3","2013-08-15","2013-8",NA,146,NA,63.3,72.4,58.9,34.4,63.5,60.7,64.7,66.3
"4","2013-08-16","2013-8",NA,147,NA,63.3,72.4,58.9,34.4,63.5,60.7,64.7,66.3
"5","2013-08-17","2013-8",NA,216,NA,63.3,72.4,58.9,34.4,63.5,60.7,64.7,66.3
"6","2013-08-18","2013-8",NA,256,NA,63.3,72.4,58.9,34.4,63.5,60.7,64.7,66.3
"7","2013-08-19","2013-8",NA,297,NA,63.3,72.4,58.9,34.4,63.5,60.7,64.7,66.3
"8","2013-08-20","2013-8",NA,306,NA,63.3,72.4,58.9,34.4,63.5,60.7,64.7,66.3
"9","2013-08-21","2013-8",NA,309,NA,63.3,72.4,58.9,34.4,63.5,60.7,64.7,66.3
"10","2013-08-22","2013-8",NA,310,NA,63.3,72.4,58.9,34.4,63.5,60.7,64.7,66.3
"11","2013-08-23","2013-8",NA,313,NA,63.3,72.4,58.9,34.4,63.5,60.7,64.7,66.3
"12","2013-08-24","2013-8",NA,316,NA,63.3,72.4,58.9,34.4,63.5,60.7,64.7,66.3
"13","2013-08-25","2013-8",NA,316,NA,63.3,72.4,58.9,34.4,63.5,60.7,64.7,66.3
"14","2013-08-26","2013-8",NA,317,NA,63.3,72.4,58.9,34.4,63.5,60.7,64.7,66.3
"15","2013-08-27","2013-8",NA,317,NA,63.3,72.4,58.9,34.4,63.5,60.7,64.7,66.3
"16","2013-08-28","2013-8",NA,317,NA,63.3,72.4,58.9,34.4,63.5,60.7,64.7,66.3
"17","2013-08-29","2013-8",NA,317,NA,63.3,72.4,58.9,34.4,63.5,60.7,64.7,66.3
"18","2013-08-30","2013-8",NA,318,NA,63.3,72.4,58.9,34.4,63.5,60.7,64.7,66.3
"19","2013-08-31","2013-8",NA,330,NA,63.3,72.4,58.9,34.4,63.5,60.7,64.7,66.3
"20","2013-09-01","2013-9",NA,333,NA,63.2,72.4,58.8,34.8,63.4,61.2,65.3,65.8
"21","2013-09-02","2013-9",NA,337,NA,63.2,72.4,58.8,34.8,63.4,61.2,65.3,65.8
"22","2013-09-03","2013-9",NA,343,NA,63.2,72.4,58.8,34.8,63.4,61.2,65.3,65.8
"23","2013-09-04","2013-9",NA,346,NA,63.2,72.4,58.8,34.8,63.4,61.2,65.3,65.8
"24","2013-09-05","2013-9",NA,346,NA,63.2,72.4,58.8,34.8,63.4,61.2,65.3,65.8
"25","2013-09-06","2013-9",NA,349,NA,63.2,72.4,58.8,34.8,63.4,61.2,65.3,65.8
"26","2013-09-07","2013-9",NA,351,NA,63.2,72.4,58.8,34.8,63.4,61.2,65.3,65.8
"27","2013-09-08","2013-9",NA,354,NA,63.2,72.4,58.8,34.8,63.4,61.2,65.3,65.8
"28","2013-09-09","2013-9",NA,355,NA,63.2,72.4,58.8,34.8,63.4,61.2,65.3,65.8
"29","2013-09-10","2013-9",NA,356,NA,63.2,72.4,58.8,34.8,63.4,61.2,65.3,65.8
"30","2013-09-11","2013-9",NA,356,NA,63.2,72.4,58.8,34.8,63.4,61.2,65.3,65.8
