"","Date","Date_MY","Comments","Users","Posts","Total","Nonagricultural.wage.and.salary","Nonagricultural.self.employment","Employed.part.time"
"1","2013-08-13","2013-8",NA,130,NA,"144,326","133,391","8,717","27,896"
"2","2013-08-14","2013-8",NA,142,NA,"144,326","133,391","8,717","27,896"
"3","2013-08-15","2013-8",NA,146,NA,"144,326","133,391","8,717","27,896"
"4","2013-08-16","2013-8",NA,147,NA,"144,326","133,391","8,717","27,896"
"5","2013-08-17","2013-8",NA,216,NA,"144,326","133,391","8,717","27,896"
"6","2013-08-18","2013-8",NA,256,NA,"144,326","133,391","8,717","27,896"
"7","2013-08-19","2013-8",NA,297,NA,"144,326","133,391","8,717","27,896"
"8","2013-08-20","2013-8",NA,306,NA,"144,326","133,391","8,717","27,896"
"9","2013-08-21","2013-8",NA,309,NA,"144,326","133,391","8,717","27,896"
"10","2013-08-22","2013-8",NA,310,NA,"144,326","133,391","8,717","27,896"
"11","2013-08-23","2013-8",NA,313,NA,"144,326","133,391","8,717","27,896"
"12","2013-08-24","2013-8",NA,316,NA,"144,326","133,391","8,717","27,896"
"13","2013-08-25","2013-8",NA,316,NA,"144,326","133,391","8,717","27,896"
"14","2013-08-26","2013-8",NA,317,NA,"144,326","133,391","8,717","27,896"
"15","2013-08-27","2013-8",NA,317,NA,"144,326","133,391","8,717","27,896"
"16","2013-08-28","2013-8",NA,317,NA,"144,326","133,391","8,717","27,896"
"17","2013-08-29","2013-8",NA,317,NA,"144,326","133,391","8,717","27,896"
"18","2013-08-30","2013-8",NA,318,NA,"144,326","133,391","8,717","27,896"
"19","2013-08-31","2013-8",NA,330,NA,"144,326","133,391","8,717","27,896"
"20","2013-09-01","2013-9",NA,333,NA,"144,418","133,463","8,646","27,552"
"21","2013-09-02","2013-9",NA,337,NA,"144,418","133,463","8,646","27,552"
"22","2013-09-03","2013-9",NA,343,NA,"144,418","133,463","8,646","27,552"
"23","2013-09-04","2013-9",NA,346,NA,"144,418","133,463","8,646","27,552"
"24","2013-09-05","2013-9",NA,346,NA,"144,418","133,463","8,646","27,552"
"25","2013-09-06","2013-9",NA,349,NA,"144,418","133,463","8,646","27,552"
"26","2013-09-07","2013-9",NA,351,NA,"144,418","133,463","8,646","27,552"
"27","2013-09-08","2013-9",NA,354,NA,"144,418","133,463","8,646","27,552"
"28","2013-09-09","2013-9",NA,355,NA,"144,418","133,463","8,646","27,552"
"29","2013-09-10","2013-9",NA,356,NA,"144,418","133,463","8,646","27,552"
"30","2013-09-11","2013-9",NA,356,NA,"144,418","133,463","8,646","27,552"
"31","2013-09-12","2013-9",NA,357,NA,"144,418","133,463","8,646","27,552"
"32","2013-09-13","2013-9",NA,360,NA,"144,418","133,463","8,646","27,552"
"33","2013-09-14","2013-9",NA,390,NA,"144,418","133,463","8,646","27,552"
"34","2013-09-15","2013-9",NA,406,NA,"144,418","133,463","8,646","27,552"
"35","2013-09-16","2013-9",NA,412,NA,"144,418","133,463","8,646","27,552"
"36","2013-09-17","2013-9",NA,415,NA,"144,418","133,463","8,646","27,552"
"37","2013-09-18","2013-9",NA,415,NA,"144,418","133,463","8,646","27,552"
"38","2013-09-19","2013-9",NA,415,NA,"144,418","133,463","8,646","27,552"
