"","Date","Date_MY","Comments","Posts","Users","Total.nonfarm","Total.private","Mining.and.logging","Construction","Manufacturing","Wholesale.trade","Retail.trade","Transportation.and.warehousing","Utilities","Information","Financial.activities","Professional.and.business.services","Education.and.health.services","Leisure.and.hospitality","Other.services","Government","Federal.government","State.government","Local.government"
"1","2013-08-13","2013-8",NA,NA,130,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"2","2013-08-14","2013-8",NA,NA,142,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"3","2013-08-15","2013-8",NA,NA,146,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"4","2013-08-16","2013-8",NA,NA,147,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"5","2013-08-17","2013-8",NA,NA,216,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"6","2013-08-18","2013-8",NA,NA,256,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"7","2013-08-19","2013-8",NA,NA,297,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"8","2013-08-20","2013-8",NA,NA,306,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"9","2013-08-21","2013-8",NA,NA,309,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"10","2013-08-22","2013-8",NA,NA,310,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"11","2013-08-23","2013-8",NA,NA,313,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"12","2013-08-24","2013-8",NA,NA,316,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"13","2013-08-25","2013-8",NA,NA,316,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"14","2013-08-26","2013-8",NA,NA,317,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"15","2013-08-27","2013-8",NA,NA,317,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"16","2013-08-28","2013-8",NA,NA,317,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"17","2013-08-29","2013-8",NA,NA,317,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"18","2013-08-30","2013-8",NA,NA,318,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"19","2013-08-31","2013-8",NA,NA,330,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"20","2013-09-01","2013-9",NA,NA,333,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"21","2013-09-02","2013-9",NA,NA,337,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"22","2013-09-03","2013-9",NA,NA,343,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"23","2013-09-04","2013-9",NA,NA,346,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"24","2013-09-05","2013-9",NA,NA,346,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"25","2013-09-06","2013-9",NA,NA,349,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"26","2013-09-07","2013-9",NA,NA,351,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"27","2013-09-08","2013-9",NA,NA,354,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"28","2013-09-09","2013-9",NA,NA,355,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"29","2013-09-10","2013-9",NA,NA,356,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"30","2013-09-11","2013-9",NA,NA,356,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"31","2013-09-12","2013-9",NA,NA,357,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
