"","Date","Comments","Users","Posts","Total.Covid.Cases"
"1","2013-08-13",NA,130,NA,NA
"2","2013-08-14",NA,142,NA,NA
"3","2013-08-15",NA,146,NA,NA
"4","2013-08-16",NA,147,NA,NA
"5","2013-08-17",NA,216,NA,NA
"6","2013-08-18",NA,256,NA,NA
"7","2013-08-19",NA,297,NA,NA
"8","2013-08-20",NA,306,NA,NA
"9","2013-08-21",NA,309,NA,NA
"10","2013-08-22",NA,310,NA,NA
"11","2013-08-23",NA,313,NA,NA
"12","2013-08-24",NA,316,NA,NA
"13","2013-08-25",NA,316,NA,NA
"14","2013-08-26",NA,317,NA,NA
"15","2013-08-27",NA,317,NA,NA
"16","2013-08-28",NA,317,NA,NA
"17","2013-08-29",NA,317,NA,NA
"18","2013-08-30",NA,318,NA,NA
"19","2013-08-31",NA,330,NA,NA
"20","2013-09-01",NA,333,NA,NA
"21","2013-09-02",NA,337,NA,NA
"22","2013-09-03",NA,343,NA,NA
"23","2013-09-04",NA,346,NA,NA
"24","2013-09-05",NA,346,NA,NA
"25","2013-09-06",NA,349,NA,NA
"26","2013-09-07",NA,351,NA,NA
"27","2013-09-08",NA,354,NA,NA
"28","2013-09-09",NA,355,NA,NA
"29","2013-09-10",NA,356,NA,NA
"30","2013-09-11",NA,356,NA,NA
"31","2013-09-12",NA,357,NA,NA
"32","2013-09-13",NA,360,NA,NA
"33","2013-09-14",NA,390,NA,NA
"34","2013-09-15",NA,406,NA,NA
"35","2013-09-16",NA,412,NA,NA
"36","2013-09-17",NA,415,NA,NA
"37","2013-09-18",NA,415,NA,NA
"38","2013-09-19",NA,415,NA,NA
"39","2013-09-20",NA,416,NA,NA
"40","2013-09-21",NA,417,NA,NA
"41","2013-09-22",NA,419,NA,NA
"42","2013-09-23",NA,420,NA,NA
"43","2013-09-24",NA,419,NA,NA
"44","2013-09-25",NA,419,NA,NA
"45","2013-09-26",NA,420,NA,NA
"46","2013-09-27",NA,421,NA,NA
"47","2013-09-28",NA,420,NA,NA
"48","2013-09-29",NA,421,NA,NA
"49","2013-09-30",NA,438,NA,NA
"50","2013-10-01",NA,444,NA,NA
"51","2013-10-02",NA,445,NA,NA
"52","2013-10-03",NA,447,NA,NA
"53","2013-10-04",NA,447,NA,NA
"54","2013-10-05",NA,453,NA,NA
"55","2013-10-06",NA,453,NA,NA
"56","2013-10-07",NA,452,NA,NA
"57","2013-10-08",NA,453,NA,NA
"58","2013-10-09",NA,455,NA,NA
"59","2013-10-10",NA,456,NA,NA
"60","2013-10-11",NA,459,NA,NA
"61","2013-10-12",NA,463,NA,NA
"62","2013-10-13",NA,461,NA,NA
"63","2013-10-14",NA,464,NA,NA
"64","2013-10-15",NA,465,NA,NA
"65","2013-10-16",NA,467,NA,NA
"66","2013-10-17",NA,482,NA,NA
"67","2013-10-18",NA,483,NA,NA
"68","2013-10-19",NA,487,NA,NA
"69","2013-10-20",NA,490,NA,NA
"70","2013-10-21",NA,492,NA,NA
"71","2013-10-22",NA,493,NA,NA
"72","2013-10-23",NA,495,NA,NA
"73","2013-10-24",NA,497,NA,NA
"74","2013-10-25",NA,496,NA,NA
"75","2013-10-26",NA,498,NA,NA
"76","2013-10-27",NA,499,NA,NA
"77","2013-10-28",NA,502,NA,NA
"78","2013-10-29",NA,509,NA,NA
"79","2013-10-30",NA,514,NA,NA
"80","2013-10-31",NA,513,NA,NA
"81","2013-11-01",NA,513,NA,NA
"82","2013-11-02",NA,513,NA,NA
"83","2013-11-03",NA,514,NA,NA
"84","2013-11-04",NA,513,NA,NA
"85","2013-11-05",NA,513,NA,NA
"86","2013-11-06",NA,514,NA,NA
"87","2013-11-07",NA,514,NA,NA
"88","2013-11-08",NA,514,NA,NA
"89","2013-11-09",NA,514,NA,NA
"90","2013-11-10",NA,513,NA,NA
"91","2013-11-11",NA,515,NA,NA
"92","2013-11-12",NA,515,NA,NA
"93","2013-11-13",NA,517,NA,NA
"94","2013-11-14",NA,519,NA,NA
"95","2013-11-15",NA,521,NA,NA
"96","2013-11-16",NA,523,NA,NA
"97","2013-11-17",NA,524,NA,NA
"98","2013-11-18",NA,527,NA,NA
"99","2013-11-19",NA,528,NA,NA
"100","2013-11-20",NA,529,NA,NA
"101","2013-11-21",NA,529,NA,NA
"102","2013-11-22",NA,530,NA,NA
"103","2013-11-23",NA,531,NA,NA
"104","2013-11-24",NA,533,NA,NA
"105","2013-11-25",NA,531,NA,NA
"106","2013-11-26",NA,535,NA,NA
"107","2013-11-27",NA,536,NA,NA
"108","2013-11-28",NA,541,NA,NA
"109","2013-11-29",NA,541,NA,NA
"110","2013-11-30",NA,541,NA,NA
"111","2013-12-01",NA,541,NA,NA
"112","2013-12-02",NA,541,NA,NA
"113","2013-12-03",NA,541,NA,NA
"114","2013-12-04",NA,542,NA,NA
"115","2013-12-05",NA,543,NA,NA
"116","2013-12-06",NA,543,NA,NA
"117","2013-12-07",NA,544,NA,NA
"118","2013-12-08",NA,544,NA,NA
"119","2013-12-09",NA,543,NA,NA
"120","2013-12-10",NA,544,NA,NA
"121","2013-12-11",NA,547,NA,NA
"122","2013-12-12",NA,548,NA,NA
"123","2013-12-13",NA,547,NA,NA
"124","2013-12-14",NA,549,NA,NA
"125","2013-12-15",NA,551,NA,NA
"126","2013-12-16",NA,552,NA,NA
"127","2013-12-17",NA,556,NA,NA
"128","2013-12-18",NA,556,NA,NA
"129","2013-12-19",NA,557,NA,NA
"130","2013-12-20",NA,560,NA,NA
"131","2013-12-21",NA,561,NA,NA
"132","2013-12-22",NA,561,NA,NA
"133","2013-12-23",NA,562,NA,NA
"134","2013-12-24",NA,561,NA,NA
"135","2013-12-25",NA,561,NA,NA
"136","2013-12-26",NA,559,NA,NA
"137","2013-12-27",NA,561,NA,NA
"138","2013-12-28",NA,562,NA,NA
"139","2013-12-29",NA,561,NA,NA
"140","2013-12-30",NA,561,NA,NA
"141","2013-12-31",NA,560,NA,NA
"142","2014-01-01",NA,560,NA,NA
"143","2014-01-02",NA,560,NA,NA
"144","2014-01-03",NA,559,NA,NA
"145","2014-01-04",NA,558,NA,NA
"146","2014-01-05",NA,558,NA,NA
"147","2014-01-06",NA,564,NA,NA
"148","2014-01-07",NA,563,NA,NA
"149","2014-01-08",NA,562,NA,NA
"150","2014-01-09",NA,563,NA,NA
"151","2014-01-10",NA,563,NA,NA
"152","2014-01-11",NA,569,NA,NA
"153","2014-01-12",NA,568,NA,NA
"154","2014-01-13",NA,567,NA,NA
"155","2014-01-14",NA,568,NA,NA
"156","2014-01-15",NA,573,NA,NA
"157","2014-01-16",NA,574,NA,NA
"158","2014-01-17",NA,573,NA,NA
"159","2014-01-18",NA,573,NA,NA
"160","2014-01-19",NA,576,NA,NA
"161","2014-01-20",NA,583,NA,NA
"162","2014-01-21",NA,612,NA,NA
"163","2014-01-22",NA,613,NA,NA
"164","2014-01-23",NA,614,NA,NA
"165","2014-01-24",NA,616,NA,NA
"166","2014-01-25",NA,617,NA,NA
"167","2014-01-26",NA,616,NA,NA
"168","2014-01-27",NA,617,NA,NA
"169","2014-01-28",NA,618,NA,NA
"170","2014-01-29",NA,619,NA,NA
"171","2014-01-30",NA,621,NA,NA
"172","2014-01-31",NA,620,NA,NA
"173","2014-02-01",NA,620,NA,NA
"174","2014-02-02",NA,621,NA,NA
"175","2014-02-03",NA,621,NA,NA
"176","2014-02-04",NA,623,NA,NA
"177","2014-02-05",NA,623,NA,NA
"178","2014-02-06",NA,623,NA,NA
"179","2014-02-07",NA,623,NA,NA
"180","2014-02-08",NA,625,NA,NA
"181","2014-02-09",NA,626,NA,NA
"182","2014-02-10",NA,627,NA,NA
"183","2014-02-11",NA,632,NA,NA
"184","2014-02-12",NA,632,NA,NA
"185","2014-02-13",NA,632,NA,NA
"186","2014-02-14",NA,634,NA,NA
"187","2014-02-15",NA,633,NA,NA
"188","2014-02-16",NA,634,NA,NA
"189","2014-02-17",NA,634,NA,NA
"190","2014-02-18",NA,633,NA,NA
"191","2014-02-19",NA,635,NA,NA
"192","2014-02-20",NA,635,NA,NA
"193","2014-02-21",NA,636,NA,NA
"194","2014-02-22",NA,636,NA,NA
"195","2014-02-23",NA,636,NA,NA
"196","2014-02-24",NA,636,NA,NA
"197","2014-02-25",NA,637,NA,NA
"198","2014-02-26",NA,637,NA,NA
"199","2014-02-27",NA,651,NA,NA
"200","2014-02-28",NA,655,NA,NA
"201","2014-03-01",NA,658,NA,NA
"202","2014-03-02",NA,674,NA,NA
"203","2014-03-03",NA,684,NA,NA
"204","2014-03-04",NA,685,NA,NA
"205","2014-03-05",NA,687,NA,NA
"206","2014-03-06",NA,687,NA,NA
"207","2014-03-07",NA,689,NA,NA
"208","2014-03-08",NA,689,NA,NA
"209","2014-03-09",NA,690,NA,NA
"210","2014-03-10",NA,689,NA,NA
"211","2014-03-11",NA,689,NA,NA
"212","2014-03-12",NA,690,NA,NA
"213","2014-03-13",NA,693,NA,NA
"214","2014-03-14",NA,695,NA,NA
"215","2014-03-15",NA,696,NA,NA
"216","2014-03-16",NA,696,NA,NA
"217","2014-03-17",NA,695,NA,NA
"218","2014-03-18",NA,695,NA,NA
"219","2014-03-19",NA,695,NA,NA
"220","2014-03-20",NA,694,NA,NA
"221","2014-03-21",NA,695,NA,NA
"222","2014-03-22",NA,696,NA,NA
"223","2014-03-23",NA,697,NA,NA
"224","2014-03-24",NA,698,NA,NA
"225","2014-03-25",NA,699,NA,NA
"226","2014-03-26",NA,700,NA,NA
"227","2014-03-27",NA,705,NA,NA
"228","2014-03-28",NA,709,NA,NA
"229","2014-03-29",NA,710,NA,NA
"230","2014-03-30",NA,710,NA,NA
"231","2014-03-31",NA,710,NA,NA
"232","2014-04-01",NA,738,NA,NA
"233","2014-04-02",NA,740,NA,NA
"234","2014-04-03",NA,740,NA,NA
"235","2014-04-04",NA,741,NA,NA
"236","2014-04-05",NA,746,NA,NA
"237","2014-04-06",NA,748,NA,NA
"238","2014-04-07",NA,748,NA,NA
"239","2014-04-08",NA,748,NA,NA
"240","2014-04-09",NA,748,NA,NA
"241","2014-04-10",NA,748,NA,NA
"242","2014-04-11",NA,748,NA,NA
"243","2014-04-12",NA,749,NA,NA
"244","2014-04-13",NA,751,NA,NA
"245","2014-04-14",NA,754,NA,NA
"246","2014-04-15",NA,755,NA,NA
"247","2014-04-16",NA,756,NA,NA
"248","2014-04-17",NA,759,NA,NA
"249","2014-04-18",NA,759,NA,NA
"250","2014-04-19",NA,760,NA,NA
"251","2014-04-20",NA,760,NA,NA
"252","2014-04-21",NA,762,NA,NA
"253","2014-04-22",NA,763,NA,NA
"254","2014-04-23",NA,763,NA,NA
"255","2014-04-24",NA,764,NA,NA
