"","Date","Date_MY","Users","Posts","Comments","Total","Men..20.years.and.over","Women..20.years.and.over","X16.to.19.years.old","White","Black.or.African.American","Asian","Hispanic.or.Latino"
"1","2013-08-13","2013-8",130,NA,NA,"11,279","5,655","4,327","1,296","7,874","2,370","436","2,303"
"2","2013-08-14","2013-8",142,NA,NA,"11,279","5,655","4,327","1,296","7,874","2,370","436","2,303"
"3","2013-08-15","2013-8",146,NA,NA,"11,279","5,655","4,327","1,296","7,874","2,370","436","2,303"
"4","2013-08-16","2013-8",147,NA,NA,"11,279","5,655","4,327","1,296","7,874","2,370","436","2,303"
"5","2013-08-17","2013-8",216,NA,NA,"11,279","5,655","4,327","1,296","7,874","2,370","436","2,303"
"6","2013-08-18","2013-8",256,NA,NA,"11,279","5,655","4,327","1,296","7,874","2,370","436","2,303"
"7","2013-08-19","2013-8",297,NA,NA,"11,279","5,655","4,327","1,296","7,874","2,370","436","2,303"
"8","2013-08-20","2013-8",306,NA,NA,"11,279","5,655","4,327","1,296","7,874","2,370","436","2,303"
"9","2013-08-21","2013-8",309,NA,NA,"11,279","5,655","4,327","1,296","7,874","2,370","436","2,303"
"10","2013-08-22","2013-8",310,NA,NA,"11,279","5,655","4,327","1,296","7,874","2,370","436","2,303"
"11","2013-08-23","2013-8",313,NA,NA,"11,279","5,655","4,327","1,296","7,874","2,370","436","2,303"
"12","2013-08-24","2013-8",316,NA,NA,"11,279","5,655","4,327","1,296","7,874","2,370","436","2,303"
"13","2013-08-25","2013-8",316,NA,NA,"11,279","5,655","4,327","1,296","7,874","2,370","436","2,303"
"14","2013-08-26","2013-8",317,NA,NA,"11,279","5,655","4,327","1,296","7,874","2,370","436","2,303"
"15","2013-08-27","2013-8",317,NA,NA,"11,279","5,655","4,327","1,296","7,874","2,370","436","2,303"
"16","2013-08-28","2013-8",317,NA,NA,"11,279","5,655","4,327","1,296","7,874","2,370","436","2,303"
"17","2013-08-29","2013-8",317,NA,NA,"11,279","5,655","4,327","1,296","7,874","2,370","436","2,303"
"18","2013-08-30","2013-8",318,NA,NA,"11,279","5,655","4,327","1,296","7,874","2,370","436","2,303"
"19","2013-08-31","2013-8",330,NA,NA,"11,279","5,655","4,327","1,296","7,874","2,370","436","2,303"
"20","2013-09-01","2013-9",333,NA,NA,"11,270","5,652","4,374","1,243","7,790","2,430","468","2,190"
"21","2013-09-02","2013-9",337,NA,NA,"11,270","5,652","4,374","1,243","7,790","2,430","468","2,190"
"22","2013-09-03","2013-9",343,NA,NA,"11,270","5,652","4,374","1,243","7,790","2,430","468","2,190"
"23","2013-09-04","2013-9",346,NA,NA,"11,270","5,652","4,374","1,243","7,790","2,430","468","2,190"
"24","2013-09-05","2013-9",346,NA,NA,"11,270","5,652","4,374","1,243","7,790","2,430","468","2,190"
"25","2013-09-06","2013-9",349,NA,NA,"11,270","5,652","4,374","1,243","7,790","2,430","468","2,190"
"26","2013-09-07","2013-9",351,NA,NA,"11,270","5,652","4,374","1,243","7,790","2,430","468","2,190"
"27","2013-09-08","2013-9",354,NA,NA,"11,270","5,652","4,374","1,243","7,790","2,430","468","2,190"
"28","2013-09-09","2013-9",355,NA,NA,"11,270","5,652","4,374","1,243","7,790","2,430","468","2,190"
"29","2013-09-10","2013-9",356,NA,NA,"11,270","5,652","4,374","1,243","7,790","2,430","468","2,190"
"30","2013-09-11","2013-9",356,NA,NA,"11,270","5,652","4,374","1,243","7,790","2,430","468","2,190"
"31","2013-09-12","2013-9",357,NA,NA,"11,270","5,652","4,374","1,243","7,790","2,430","468","2,190"
"32","2013-09-13","2013-9",360,NA,NA,"11,270","5,652","4,374","1,243","7,790","2,430","468","2,190"
"33","2013-09-14","2013-9",390,NA,NA,"11,270","5,652","4,374","1,243","7,790","2,430","468","2,190"
"34","2013-09-15","2013-9",406,NA,NA,"11,270","5,652","4,374","1,243","7,790","2,430","468","2,190"
"35","2013-09-16","2013-9",412,NA,NA,"11,270","5,652","4,374","1,243","7,790","2,430","468","2,190"
"36","2013-09-17","2013-9",415,NA,NA,"11,270","5,652","4,374","1,243","7,790","2,430","468","2,190"
"37","2013-09-18","2013-9",415,NA,NA,"11,270","5,652","4,374","1,243","7,790","2,430","468","2,190"
"38","2013-09-19","2013-9",415,NA,NA,"11,270","5,652","4,374","1,243","7,790","2,430","468","2,190"
"39","2013-09-20","2013-9",416,NA,NA,"11,270","5,652","4,374","1,243","7,790","2,430","468","2,190"
"40","2013-09-21","2013-9",417,NA,NA,"11,270","5,652","4,374","1,243","7,790","2,430","468","2,190"
"41","2013-09-22","2013-9",419,NA,NA,"11,270","5,652","4,374","1,243","7,790","2,430","468","2,190"
"42","2013-09-23","2013-9",420,NA,NA,"11,270","5,652","4,374","1,243","7,790","2,430","468","2,190"
"43","2013-09-24","2013-9",419,NA,NA,"11,270","5,652","4,374","1,243","7,790","2,430","468","2,190"
"44","2013-09-25","2013-9",419,NA,NA,"11,270","5,652","4,374","1,243","7,790","2,430","468","2,190"
"45","2013-09-26","2013-9",420,NA,NA,"11,270","5,652","4,374","1,243","7,790","2,430","468","2,190"
"46","2013-09-27","2013-9",421,NA,NA,"11,270","5,652","4,374","1,243","7,790","2,430","468","2,190"
"47","2013-09-28","2013-9",420,NA,NA,"11,270","5,652","4,374","1,243","7,790","2,430","468","2,190"
"48","2013-09-29","2013-9",421,NA,NA,"11,270","5,652","4,374","1,243","7,790","2,430","468","2,190"
"49","2013-09-30","2013-9",438,NA,NA,"11,270","5,652","4,374","1,243","7,790","2,430","468","2,190"
"50","2013-10-01","2013-10",444,NA,NA,"11,136","5,471","4,400","1,265","7,718","2,370","460","2,254"
"51","2013-10-02","2013-10",445,NA,NA,"11,136","5,471","4,400","1,265","7,718","2,370","460","2,254"
"52","2013-10-03","2013-10",447,NA,NA,"11,136","5,471","4,400","1,265","7,718","2,370","460","2,254"
"53","2013-10-04","2013-10",447,NA,NA,"11,136","5,471","4,400","1,265","7,718","2,370","460","2,254"
"54","2013-10-05","2013-10",453,NA,NA,"11,136","5,471","4,400","1,265","7,718","2,370","460","2,254"
"55","2013-10-06","2013-10",453,NA,NA,"11,136","5,471","4,400","1,265","7,718","2,370","460","2,254"
"56","2013-10-07","2013-10",452,NA,NA,"11,136","5,471","4,400","1,265","7,718","2,370","460","2,254"
"57","2013-10-08","2013-10",453,NA,NA,"11,136","5,471","4,400","1,265","7,718","2,370","460","2,254"
"58","2013-10-09","2013-10",455,NA,NA,"11,136","5,471","4,400","1,265","7,718","2,370","460","2,254"
"59","2013-10-10","2013-10",456,NA,NA,"11,136","5,471","4,400","1,265","7,718","2,370","460","2,254"
"60","2013-10-11","2013-10",459,NA,NA,"11,136","5,471","4,400","1,265","7,718","2,370","460","2,254"
"61","2013-10-12","2013-10",463,NA,NA,"11,136","5,471","4,400","1,265","7,718","2,370","460","2,254"
"62","2013-10-13","2013-10",461,NA,NA,"11,136","5,471","4,400","1,265","7,718","2,370","460","2,254"
"63","2013-10-14","2013-10",464,NA,NA,"11,136","5,471","4,400","1,265","7,718","2,370","460","2,254"
"64","2013-10-15","2013-10",465,NA,NA,"11,136","5,471","4,400","1,265","7,718","2,370","460","2,254"
"65","2013-10-16","2013-10",467,NA,NA,"11,136","5,471","4,400","1,265","7,718","2,370","460","2,254"
"66","2013-10-17","2013-10",482,NA,NA,"11,136","5,471","4,400","1,265","7,718","2,370","460","2,254"
"67","2013-10-18","2013-10",483,NA,NA,"11,136","5,471","4,400","1,265","7,718","2,370","460","2,254"
"68","2013-10-19","2013-10",487,NA,NA,"11,136","5,471","4,400","1,265","7,718","2,370","460","2,254"
"69","2013-10-20","2013-10",490,NA,NA,"11,136","5,471","4,400","1,265","7,718","2,370","460","2,254"
"70","2013-10-21","2013-10",492,NA,NA,"11,136","5,471","4,400","1,265","7,718","2,370","460","2,254"
"71","2013-10-22","2013-10",493,NA,NA,"11,136","5,471","4,400","1,265","7,718","2,370","460","2,254"
"72","2013-10-23","2013-10",495,NA,NA,"11,136","5,471","4,400","1,265","7,718","2,370","460","2,254"
"73","2013-10-24","2013-10",497,NA,NA,"11,136","5,471","4,400","1,265","7,718","2,370","460","2,254"
"74","2013-10-25","2013-10",496,NA,NA,"11,136","5,471","4,400","1,265","7,718","2,370","460","2,254"
"75","2013-10-26","2013-10",498,NA,NA,"11,136","5,471","4,400","1,265","7,718","2,370","460","2,254"
"76","2013-10-27","2013-10",499,NA,NA,"11,136","5,471","4,400","1,265","7,718","2,370","460","2,254"
"77","2013-10-28","2013-10",502,NA,NA,"11,136","5,471","4,400","1,265","7,718","2,370","460","2,254"
"78","2013-10-29","2013-10",509,NA,NA,"11,136","5,471","4,400","1,265","7,718","2,370","460","2,254"
"79","2013-10-30","2013-10",514,NA,NA,"11,136","5,471","4,400","1,265","7,718","2,370","460","2,254"
"80","2013-10-31","2013-10",513,NA,NA,"11,136","5,471","4,400","1,265","7,718","2,370","460","2,254"
"81","2013-11-01","2013-11",513,NA,NA,"10,787","5,292","4,311","1,185","7,544","2,270","456","2,180"
"82","2013-11-02","2013-11",513,NA,NA,"10,787","5,292","4,311","1,185","7,544","2,270","456","2,180"
"83","2013-11-03","2013-11",514,NA,NA,"10,787","5,292","4,311","1,185","7,544","2,270","456","2,180"
"84","2013-11-04","2013-11",513,NA,NA,"10,787","5,292","4,311","1,185","7,544","2,270","456","2,180"
"85","2013-11-05","2013-11",513,NA,NA,"10,787","5,292","4,311","1,185","7,544","2,270","456","2,180"
"86","2013-11-06","2013-11",514,NA,NA,"10,787","5,292","4,311","1,185","7,544","2,270","456","2,180"
"87","2013-11-07","2013-11",514,NA,NA,"10,787","5,292","4,311","1,185","7,544","2,270","456","2,180"
"88","2013-11-08","2013-11",514,NA,NA,"10,787","5,292","4,311","1,185","7,544","2,270","456","2,180"
"89","2013-11-09","2013-11",514,NA,NA,"10,787","5,292","4,311","1,185","7,544","2,270","456","2,180"
"90","2013-11-10","2013-11",513,NA,NA,"10,787","5,292","4,311","1,185","7,544","2,270","456","2,180"
"91","2013-11-11","2013-11",515,NA,NA,"10,787","5,292","4,311","1,185","7,544","2,270","456","2,180"
"92","2013-11-12","2013-11",515,NA,NA,"10,787","5,292","4,311","1,185","7,544","2,270","456","2,180"
"93","2013-11-13","2013-11",517,NA,NA,"10,787","5,292","4,311","1,185","7,544","2,270","456","2,180"
"94","2013-11-14","2013-11",519,NA,NA,"10,787","5,292","4,311","1,185","7,544","2,270","456","2,180"
"95","2013-11-15","2013-11",521,NA,NA,"10,787","5,292","4,311","1,185","7,544","2,270","456","2,180"
"96","2013-11-16","2013-11",523,NA,NA,"10,787","5,292","4,311","1,185","7,544","2,270","456","2,180"
"97","2013-11-17","2013-11",524,NA,NA,"10,787","5,292","4,311","1,185","7,544","2,270","456","2,180"
"98","2013-11-18","2013-11",527,NA,NA,"10,787","5,292","4,311","1,185","7,544","2,270","456","2,180"
"99","2013-11-19","2013-11",528,NA,NA,"10,787","5,292","4,311","1,185","7,544","2,270","456","2,180"
"100","2013-11-20","2013-11",529,NA,NA,"10,787","5,292","4,311","1,185","7,544","2,270","456","2,180"
"101","2013-11-21","2013-11",529,NA,NA,"10,787","5,292","4,311","1,185","7,544","2,270","456","2,180"
"102","2013-11-22","2013-11",530,NA,NA,"10,787","5,292","4,311","1,185","7,544","2,270","456","2,180"
