"","X.strike.","X.strikedate.","X.nummentions."
"1","strike","strikedate","nummentions"
"2","1","19010","0"
"3","1","19011","0"
"4","1","19012","0"
"5","1","19013","0"
"6","1","19014","0"
"7","1","19015","0"
"8","1","19016","0"
"9","1","19017","0"
"10","2","19010","0"
"11","2","19011","0"
"12","2","19012","0"
"13","2","19013","0"
"14","2","19014","0"
"15","2","19015","0"
"16","2","19016","0"
"17","2","19017","0"
"18","3","19010","0"
"19","3","19011","0"
"20","3","19012","0"
"21","3","19013","0"
"22","3","19014","0"
"23","3","19015","0"
"24","3","19016","0"
"25","3","19017","0"
"26","4","19010","0"
"27","5","19010","0"
"28","6","19009","0"
"29","7","19009","0"
"30","8","19009","0"
"31","9","19009","0"
"32","10","19009","0"
"33","11","19009","0"
"34","12","19007","5"
"35","13","19007","10"
"36","14","19006","10"
"37","15","19005","0"
"38","15","19006","0"
"39","15","19007","0"
"40","15","19008","0"
"41","15","19009","0"
"42","15","19010","0"
"43","15","19011","0"
"44","15","19012","0"
"45","15","19013","0"
"46","15","19014","0"
"47","15","19015","0"
"48","15","19016","0"
"49","15","19017","0"
"50","16","19004","0"
"51","16","19005","0"
"52","17","19004","0"
"53","18","19004","0"
"54","18","19005","0"
"55","18","19006","9"
"56","18","19007","2"
"57","18","19008","0"
"58","18","19009","0"
"59","18","19010","0"
"60","18","19011","0"
"61","18","19012","0"
"62","18","19013","0"
"63","19","19004","0"
"64","19","19005","0"
"65","19","19006","9"
"66","19","19007","2"
"67","19","19008","0"
"68","19","19009","0"
"69","19","19010","0"
"70","19","19011","0"
"71","19","19012","0"
"72","19","19013","0"
"73","20","19004","0"
"74","20","19005","0"
"75","20","19006","9"
"76","20","19007","2"
"77","20","19008","0"
"78","20","19009","0"
"79","20","19010","0"
"80","20","19011","0"
"81","20","19012","0"
"82","20","19013","0"
"83","21","19004","0"
"84","21","19005","0"
"85","21","19006","9"
"86","21","19007","2"
"87","21","19008","0"
"88","21","19009","0"
"89","21","19010","0"
"90","21","19011","0"
"91","21","19012","0"
"92","21","19013","0"
"93","22","19004","0"
"94","22","19005","0"
"95","22","19006","9"
"96","22","19007","2"
"97","22","19008","0"
"98","22","19009","0"
"99","22","19010","0"
"100","22","19011","0"
"101","22","19012","0"
"102","22","19013","0"
"103","23","19004","0"
"104","23","19005","0"
"105","23","19006","9"
"106","23","19007","2"
"107","23","19008","0"
"108","23","19009","0"
"109","23","19010","0"
"110","23","19011","0"
"111","23","19012","0"
"112","23","19013","0"
"113","24","19004","0"
"114","24","19005","0"
"115","24","19006","9"
"116","24","19007","2"
"117","24","19008","0"
"118","24","19009","0"
"119","24","19010","0"
"120","24","19011","0"
"121","24","19012","0"
"122","24","19013","0"
"123","25","19004","0"
"124","25","19005","0"
"125","25","19006","9"
"126","25","19007","2"
"127","25","19008","0"
"128","25","19009","0"
"129","25","19010","0"
"130","25","19011","0"
"131","25","19012","0"
"132","25","19013","0"
"133","26","19004","0"
"134","27","19003","0"
"135","27","19004","0"
"136","27","19005","0"
"137","27","19006","2"
"138","27","19007","0"
"139","27","19008","0"
"140","27","19009","0"
"141","27","19010","0"
"142","27","19011","0"
"143","27","19012","0"
"144","27","19013","0"
"145","27","19014","0"
"146","27","19015","0"
"147","27","19016","0"
"148","27","19017","0"
"149","28","19003","0"
"150","28","19004","0"
"151","28","19005","0"
"152","28","19006","2"
"153","28","19007","0"
"154","28","19008","0"
"155","28","19009","0"
"156","28","19010","0"
"157","28","19011","0"
"158","28","19012","0"
"159","28","19013","0"
"160","28","19014","0"
"161","28","19015","0"
"162","28","19016","0"
"163","28","19017","0"
"164","29","19002","0"
"165","30","19001","0"
"166","31","19000","0"
"167","32","19000","0"
"168","33","18999","0"
"169","34","18998","0"
"170","35","18997","0"
"171","35","18998","0"
"172","35","18999","0"
"173","35","19000","0"
"174","35","19001","0"
"175","36","18997","0"
"176","36","18998","0"
"177","36","18999","0"
"178","36","19000","0"
"179","36","19001","0"
"180","36","19002","0"
"181","36","19003","0"
"182","36","19004","0"
"183","36","19005","0"
"184","36","19006","7"
"185","36","19007","2"
"186","36","19008","0"
"187","36","19009","0"
"188","36","19010","0"
"189","36","19011","0"
"190","36","19012","0"
"191","36","19013","0"
"192","36","19014","0"
"193","36","19015","0"
"194","36","19016","0"
"195","36","19017","0"
"196","37","18997","0"
"197","38","18997","0"
"198","39","18997","0"
"199","39","18998","0"
"200","39","18999","0"
"201","39","19000","0"
"202","39","19001","0"
"203","39","19002","0"
"204","39","19003","0"
"205","39","19004","0"
"206","39","19005","0"
"207","39","19006","38"
"208","39","19007","27"
"209","39","19008","0"
"210","39","19009","0"
"211","39","19010","0"
"212","39","19011","0"
"213","39","19012","0"
"214","39","19013","0"
"215","39","19014","0"
"216","39","19015","0"
"217","39","19016","0"
"218","39","19017","7"
"219","40","18996","0"
"220","41","18994","0"
"221","41","18995","0"
"222","41","18996","0"
"223","41","18997","0"
"224","41","18998","0"
"225","41","18999","0"
"226","41","19000","0"
"227","41","19001","0"
"228","41","19002","0"
"229","41","19003","0"
"230","41","19004","0"
"231","41","19005","0"
"232","41","19006","5"
"233","41","19007","6"
"234","41","19008","0"
"235","41","19009","0"
"236","41","19010","0"
"237","41","19011","0"
"238","41","19012","0"
"239","41","19013","0"
"240","41","19014","0"
"241","41","19015","0"
"242","41","19016","0"
"243","41","19017","1"
"244","42","18993","0"
"245","43","18989","0"
"246","44","18985","0"
"247","45","18983","0"
"248","46","18983","0"
"249","47","18983","0"
"250","48","18983","0"
"251","49","18982","0"
"252","50","18981","0"
"253","50","18982","0"
"254","50","18983","0"
"255","50","18984","0"
"256","50","18985","0"
"257","50","18986","0"
"258","50","18987","0"
"259","50","18988","0"
"260","50","18989","0"
"261","50","18990","0"
"262","50","18991","0"
"263","50","18992","0"
"264","50","18993","0"
"265","50","18994","0"
"266","50","18995","0"
"267","50","18996","0"
"268","50","18997","0"
"269","50","18998","0"
"270","50","18999","0"
"271","50","19000","0"
"272","50","19001","0"
"273","50","19002","0"
"274","50","19003","0"
"275","50","19004","0"
"276","50","19005","0"
"277","50","19006","27"
"278","50","19007","16"
"279","50","19008","0"
"280","50","19009","0"
"281","50","19010","0"
"282","50","19011","0"
"283","50","19012","0"
"284","50","19013","0"
"285","50","19014","0"
"286","50","19015","0"
"287","50","19016","0"
"288","50","19017","5"
"289","51","18981","0"
"290","52","18978","0"
"291","53","18978","0"
"292","54","18978","0"
"293","55","18978","0"
"294","56","18978","0"
"295","57","18978","0"
"296","58","18978","0"
"297","58","18979","0"
"298","58","18980","0"
"299","58","18981","0"
"300","58","18982","0"
"301","58","18983","0"
"302","58","18984","0"
"303","58","18985","0"
"304","58","18986","0"
"305","58","18987","0"
"306","58","18988","0"
"307","58","18989","0"
"308","58","18990","0"
"309","58","18991","0"
"310","58","18992","0"
"311","58","18993","0"
"312","58","18994","0"
"313","58","18995","0"
"314","58","18996","0"
"315","58","18997","0"
"316","58","18998","0"
"317","58","18999","0"
"318","58","19000","0"
"319","58","19001","0"
"320","58","19002","0"
"321","58","19003","0"
"322","58","19004","0"
"323","58","19005","0"
"324","58","19006","0"
"325","58","19007","0"
"326","58","19008","0"
"327","58","19009","0"
"328","59","18978","0"
"329","59","18979","0"
"330","59","18980","0"
"331","59","18981","0"
"332","59","18982","0"
"333","59","18983","0"
"334","59","18984","0"
"335","59","18985","0"
"336","59","18986","0"
"337","59","18987","0"
"338","59","18988","0"
"339","59","18989","0"
"340","59","18990","0"
"341","59","18991","0"
"342","59","18992","0"
"343","59","18993","0"
"344","59","18994","0"
"345","59","18995","0"
"346","59","18996","0"
"347","59","18997","0"
"348","59","18998","0"
"349","59","18999","0"
"350","59","19000","0"
"351","59","19001","0"
"352","59","19002","0"
"353","59","19003","0"
"354","59","19004","0"
"355","59","19005","0"
"356","59","19006","0"
"357","59","19007","0"
"358","59","19008","0"
"359","59","19009","0"
"360","60","18978","0"
"361","60","18979","0"
"362","60","18980","0"
"363","60","18981","0"
"364","60","18982","0"
"365","60","18983","0"
"366","60","18984","0"
"367","60","18985","0"
"368","60","18986","0"
"369","60","18987","0"
"370","60","18988","0"
"371","60","18989","0"
"372","60","18990","0"
"373","60","18991","0"
"374","60","18992","0"
"375","60","18993","0"
"376","60","18994","0"
"377","60","18995","0"
"378","60","18996","0"
"379","60","18997","0"
"380","60","18998","0"
"381","60","18999","0"
"382","60","19000","0"
"383","60","19001","0"
"384","60","19002","0"
"385","60","19003","0"
"386","60","19004","0"
"387","60","19005","0"
"388","60","19006","0"
"389","60","19007","0"
"390","60","19008","0"
"391","60","19009","0"
"392","61","18978","0"
"393","61","18979","0"
"394","61","18980","0"
"395","61","18981","0"
"396","61","18982","0"
"397","61","18983","0"
"398","61","18984","0"
"399","61","18985","0"
"400","61","18986","0"
"401","61","18987","0"
"402","61","18988","0"
"403","61","18989","0"
"404","61","18990","0"
"405","61","18991","0"
"406","61","18992","0"
"407","61","18993","0"
"408","61","18994","0"
"409","61","18995","0"
"410","61","18996","0"
"411","61","18997","0"
"412","61","18998","0"
"413","61","18999","0"
"414","61","19000","0"
"415","61","19001","0"
"416","61","19002","0"
"417","61","19003","0"
"418","61","19004","0"
"419","61","19005","0"
"420","61","19006","0"
"421","61","19007","0"
"422","61","19008","0"
"423","61","19009","0"
"424","62","18978","0"
"425","62","18979","0"
"426","62","18980","0"
"427","62","18981","0"
"428","62","18982","0"
"429","62","18983","0"
"430","62","18984","0"
"431","62","18985","0"
"432","62","18986","0"
"433","62","18987","0"
"434","62","18988","0"
"435","62","18989","0"
"436","62","18990","0"
"437","62","18991","0"
"438","62","18992","0"
"439","62","18993","0"
"440","62","18994","0"
"441","62","18995","0"
"442","62","18996","0"
"443","62","18997","0"
"444","62","18998","0"
"445","62","18999","0"
"446","62","19000","0"
"447","62","19001","0"
"448","62","19002","0"
"449","62","19003","0"
"450","62","19004","0"
"451","62","19005","0"
"452","62","19006","0"
"453","62","19007","0"
"454","62","19008","0"
"455","62","19009","0"
"456","63","18978","0"
"457","63","18979","0"
"458","63","18980","0"
"459","63","18981","0"
"460","63","18982","0"
"461","63","18983","0"
"462","63","18984","0"
"463","63","18985","0"
"464","63","18986","0"
"465","63","18987","0"
"466","63","18988","0"
"467","63","18989","0"
"468","63","18990","0"
"469","63","18991","0"
"470","63","18992","0"
"471","63","18993","0"
"472","63","18994","0"
"473","63","18995","0"
"474","63","18996","0"
"475","63","18997","0"
"476","63","18998","0"
"477","63","18999","0"
"478","63","19000","0"
"479","63","19001","0"
"480","63","19002","0"
"481","63","19003","0"
"482","63","19004","0"
"483","63","19005","0"
"484","63","19006","0"
"485","63","19007","0"
"486","63","19008","0"
"487","63","19009","0"
"488","64","18977","0"
"489","64","18978","0"
